Disk Write KB/s iotserver,sda,sda1,sda2,dm-0,dm-1
2017-12-12 07:09:11,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:12,46.5,0.0,46.5,46.5,0.0
2017-12-12 07:09:13,6.0,0.0,6.0,6.0,0.0
2017-12-12 07:09:14,6.0,0.0,6.0,6.0,0.0
2017-12-12 07:09:15,10.9,0.0,10.9,10.9,0.0
2017-12-12 07:09:16,6.0,0.0,6.0,6.0,0.0
2017-12-12 07:09:17,6.0,0.0,6.0,6.0,0.0
2017-12-12 07:09:18,214.9,0.0,214.9,214.9,0.0
2017-12-12 07:09:19,11.9,0.0,11.9,11.9,0.0
2017-12-12 07:09:20,5.9,0.0,5.9,5.9,0.0
2017-12-12 07:09:21,6.0,0.0,6.0,6.0,0.0
2017-12-12 07:09:22,6.0,0.0,6.0,6.0,0.0
2017-12-12 07:09:23,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:25,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:26,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:27,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:28,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:29,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:30,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:31,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:32,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:33,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:34,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:35,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:36,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:37,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:38,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:39,0.0,0.0,0.0,0.0,0.0
