Disk transfers per second iotserver,sda,sda1,sda2,dm-0,dm-1
2017-12-12 07:09:11,1.7,0.0,1.7,1.7,0.0
2017-12-12 07:09:12,5.9,0.0,4.9,4.9,0.0
2017-12-12 07:09:13,5.0,0.0,3.0,3.0,0.0
2017-12-12 07:09:14,5.0,0.0,3.0,3.0,0.0
2017-12-12 07:09:15,5.0,0.0,3.0,4.0,0.0
2017-12-12 07:09:16,5.0,0.0,3.0,3.0,0.0
2017-12-12 07:09:17,5.0,0.0,3.0,3.0,0.0
2017-12-12 07:09:18,21.9,0.0,19.9,26.9,0.0
2017-12-12 07:09:19,7.0,0.0,4.0,5.0,0.0
2017-12-12 07:09:20,5.0,0.0,3.0,3.0,0.0
2017-12-12 07:09:21,5.0,0.0,3.0,3.0,0.0
2017-12-12 07:09:22,5.0,0.0,3.0,3.0,0.0
2017-12-12 07:09:23,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:25,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:26,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:27,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:28,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:29,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:30,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:31,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:32,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:33,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:34,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:35,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:36,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:37,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:38,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:39,0.0,0.0,0.0,0.0,0.0
