Network I/O iotserver,enp0s3-read-KB/s,enp0s8-read-KB/s,lo-read-KB/s,enp0s3-write-KB/s,enp0s8-write-KB/s,lo-write-KB/s
2017-12-12 07:09:11,0.0,0.3,0.0,0.0,4.1,0.0
2017-12-12 07:09:12,0.0,0.3,0.0,0.0,0.4,0.0
2017-12-12 07:09:13,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:14,0.0,0.4,0.0,0.0,4.7,0.0
2017-12-12 07:09:15,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:16,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:17,0.0,0.1,0.0,0.0,4.5,0.0
2017-12-12 07:09:18,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:19,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:20,0.0,0.1,0.0,0.0,4.5,0.0
2017-12-12 07:09:21,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:22,0.0,0.1,0.0,0.0,0.2,0.0
2017-12-12 07:09:23,0.0,0.4,0.0,0.0,4.7,0.0
2017-12-12 07:09:25,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:26,0.0,0.6,0.0,0.0,0.5,0.0
2017-12-12 07:09:27,0.0,0.9,0.0,0.0,5.0,0.0
2017-12-12 07:09:28,0.0,0.6,0.0,0.0,0.4,0.0
2017-12-12 07:09:29,0.0,0.8,0.0,0.0,0.5,0.0
2017-12-12 07:09:30,0.0,0.7,0.0,0.0,4.1,0.0
2017-12-12 07:09:31,0.0,0.2,0.0,0.0,0.5,0.0
2017-12-12 07:09:32,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-12 07:09:33,0.0,0.1,0.0,0.0,3.0,0.0
2017-12-12 07:09:34,0.0,0.5,0.0,0.0,0.3,0.0
2017-12-12 07:09:35,0.0,0.6,0.0,0.0,0.4,0.0
2017-12-12 07:09:36,0.0,0.7,0.0,0.0,4.4,0.0
2017-12-12 07:09:37,0.0,0.4,0.0,0.0,0.3,0.0
2017-12-12 07:09:38,0.0,0.2,0.0,0.0,0.1,0.0
2017-12-12 07:09:39,0.0,0.4,0.0,0.0,4.4,0.0
