Processes iotserver,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2017-12-12 07:09:11,1,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2017-12-12 07:09:12,6,0,403.7,-1.0,-1.0,-1.0,5.9,-1.0,-1.0,-1.0
2017-12-12 07:09:13,6,0,838.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:14,6,0,840.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:15,6,0,834.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:16,6,0,837.4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:17,6,0,830.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2017-12-12 07:09:18,6,0,840.9,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:19,6,0,826.1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:20,6,0,848.8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:21,6,0,827.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:22,1,0,451.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2017-12-12 07:09:23,1,0,41.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:25,1,0,31.8,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:26,1,0,56.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:27,1,0,77.4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:28,1,0,52.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2017-12-12 07:09:29,1,0,74.4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:30,1,0,76.4,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:31,1,0,60.5,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
2017-12-12 07:09:32,1,0,33.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:33,1,0,36.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2017-12-12 07:09:34,1,0,52.6,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:35,1,0,58.5,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:36,1,0,53.6,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:37,1,0,51.6,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
2017-12-12 07:09:38,1,0,34.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2017-12-12 07:09:39,1,0,53.6,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0
